mod_id,name_cn,local_name_en,notes,tags,nexus_url,title_en,author,category,thumbnail,nexus_requirements,version,last_updated,mod_downloads,category_cn,summary
23458,家具框架,,,#修改工具,https://www.nexusmods.com/stardewvalley/mods/23458,Furniture Framework,Leroymilo,9,https://staticdelivery.nexusmods.com/mods/1303/images/23458/23458-1746024897-1028084908.png,,3.2.4,2025-11-11,243.7K,修改工具,This is a Content Pack Framework to allow Content Pack makers to create highly customizable Furniture.
28162,秋千,,,#家具,https://www.nexusmods.com/stardewvalley/mods/28162,FF Gedian's swing,Gedian,23,https://staticdelivery.nexusmods.com/mods/1303/images/28162/28162-1727234594-947261652.png,,,2024-9-25,6.0K,家具,适配1.6
29617,复古家具美化,,,#家具,https://www.nexusmods.com/stardewvalley/mods/29617,(AT)(CP)Classical-furniture,Jiaojiao,23,https://staticdelivery.nexusmods.com/mods/1303/images/29617/29617-1732266930-1004988561.jpeg,,,2024-11-23,32.9K,家具,"增加了108件古典家具,分为at和cp两个模式 ，1.5/1.6都可以使用"
13893,休闲家具美化,,,#家具,https://www.nexusmods.com/stardewvalley/mods/13893,Casual Furniture Set,katestardew,23,https://staticdelivery.nexusmods.com/mods/1303/images/13893/13893-1663940720-965555023.png,,,2022-9-23,265.8K,家具,This is a furniture pack that includes cute and pastel pieces made to match with other existing furniture sets as well. The content of this mod will be updated time-to-time to add more stuff in the future! ♡
28337,冰淇淋家具美化,,,#家具,https://www.nexusmods.com/stardewvalley/mods/28337,(CP)(CF)(FF)Gintyann's Ice Cream Furniture,Gintyann,23,https://staticdelivery.nexusmods.com/mods/1303/images/28337/28337-1728042029-490956290.jpeg,,,2024-10-4,29.2K,家具,一套包含冰淇淋车和八种冰淇淋等家具的家具套装，1.5版本请下载CF版本，1.6可下载CP或者FF
25684,浴室家具美化,,,#视觉效果和图形,https://www.nexusmods.com/stardewvalley/mods/25684,Bathroom Furniture for Alternative Textures,FarmerBeans,25,https://staticdelivery.nexusmods.com/mods/1303/images/25684/25684-1719784037-151318962.png,,,2025-2-21,40.5K,视觉效果和图形,"Adds vanilla-styled Bathroom furniture to match all the ""wood"" colors in the catalog."
32094,烘焙家具美化,,,#家具,https://www.nexusmods.com/stardewvalley/mods/32094,Baking Lovers Decor,Kayyteee,23,https://staticdelivery.nexusmods.com/mods/1303/images/32094/32094-1741512892-906703312.png,,,2025-3-6,21.2K,家具,A furniture and decor mod with 300+ items ^^ Uses Alternative textures to give you more variations of each decor.
29438,法师植物家具美化,,,#家具,https://www.nexusmods.com/stardewvalley/mods/29438,Elfflower Furniture_Wizard Furniture redraw,umganil,23,https://staticdelivery.nexusmods.com/mods/1303/images/29438/29438-1731768406-521335459.png,,,2024-11-16,28.7K,家具,对于法师家具的AT版本重新绘制
20498,幽咪的星之卡比家具美化,,,#家具,https://www.nexusmods.com/stardewvalley/mods/20498,Yomi's Star Kabi Furniture Series and Kitchen Set -AT-CP-FS(Applicable 1.6),Yomi,23,https://staticdelivery.nexusmods.com/mods/1303/images/20498/20498-1743256615-1291799420.png,,,2024-3-11,25.2K,家具,小红薯：@幽咪<br />B站：@爱游戏的幽咪<br />【星之卡比系列家具、厨房和服装！卡比粉狂宠！！！~】 (Applicable 1.6)
20373,幽咪的星之卡比稻草人,,,#视觉效果和图形,https://www.nexusmods.com/stardewvalley/mods/20373,Yomi's Star Kabi Scarecrow-AT (Applicable 1.6),Yomi,25,https://staticdelivery.nexusmods.com/mods/1303/images/20373/20373-1743256679-764038385.png,,,2024-2-28,17.9K,视觉效果和图形,十一个星之卡比稻草人！ (Applicable 1.6)
3733,替换森林农场,,,#地图,https://www.nexusmods.com/stardewvalley/mods/3733,Overgrown Garden Farm,DaisyNiko,21,https://staticdelivery.nexusmods.com/mods/1303/images/3733/3733-1556458491-565604182.png,,3.2,2025-1-12,72.6K,地图,a cute little messy woodsy foresty farm map
8192,替换森林农场,,,#地图,https://www.nexusmods.com/stardewvalley/mods/8192,Secret Garden Farm,grapeponta,21,https://staticdelivery.nexusmods.com/mods/1303/images/8192/8192-1614992008-1832631084.png,,,2021-4-3,14.3K,地图,"My personal forest map replacement inspired by The Secret Garden, a comfort read of mine since childhood. Requires DaisyNiko's Tilesheets."
40019,默认替换标准农场,,,#地图,https://www.nexusmods.com/stardewvalley/mods/40019,Lnh's YunXi Farm CP And PIF,LiuNianHui,21,https://staticdelivery.nexusmods.com/mods/1303/images/40019/40019-1765376676-493604742.png,,,2025-12-10,2.2K,地图,这是来自群友幸运的约稿/This is a commission from luck
39515,替换标准农场,,,#地图,https://www.nexusmods.com/stardewvalley/mods/39515,Lnh's Rose Garden Farm,LiuNianHui,21,https://staticdelivery.nexusmods.com/mods/1303/images/39515/39515-1763649026-788196662.png,,,2025-11-20,1.4K,地图,来自群友小艾的约稿/This is a commission from 小艾
16438,农舍内部房型,,,#地图,https://www.nexusmods.com/stardewvalley/mods/16438,Aimon's Tidy Cozy Farmhouse,Aimon111,21,https://staticdelivery.nexusmods.com/mods/1303/images/16438/16438-1689189261-293954011.png,,,2025-7-11,86.8K,地图,"Changes your FarmHouse map into small and cozy place towards more realistic layout with attic, balcony and rooftop."
14411,农舍内部房型,,,#地图,https://www.nexusmods.com/stardewvalley/mods/14411,Aimon's Fancy Farmhouse,Aimon111,21,https://staticdelivery.nexusmods.com/mods/1303/images/14411/14411-1667996671-353103193.png,,,2024-5-30,97.3K,地图,Makes your farmhouse maps look new and fresh towards more realistic layout.
19295,姜岛农舍,,,#地图,https://www.nexusmods.com/stardewvalley/mods/19295,Tidy Cozy Ginger Island Farmhouse,Aimon111,21,https://staticdelivery.nexusmods.com/mods/1303/images/19295/19295-1701238461-324169380.png,,,2024-3-19,25.6K,地图,Changes your Ginger Island FarmHouse map into small and cozy place towards more realistic layout.
14896,地板壁纸,,,#室内设计,https://www.nexusmods.com/stardewvalley/mods/14896,DustBeauty's Rustic Country Walls and Floors for Alternative Textures,DustBeauty and Zyrnathos,19,https://staticdelivery.nexusmods.com/mods/1303/images/14896/14896-1672547180-1701948080.png,,,2023-1-1,56.7K,室内设计,A simple conversion of the CP version of Dustbeauty's Rustic Country Walls and Floors to an Alternative Textures(AT) content pack.<br />Note: All assets are NOT MINE!
3231,Farm Type Manager (FTM),,,#修改工具|#前置,https://www.nexusmods.com/stardewvalley/mods/3231,Farm Type Manager (FTM),Esca-MMC,9,https://staticdelivery.nexusmods.com/mods/1303/images/3231/3231-1549594226-514724928.png,,1.26.1,2025-11-15,9.3M,修改工具,"Farm Type Manager (FTM) is a framework that lets other mods spawn objects and monsters anywhere in the game, with various controls and customization options."
8626,Custom Companions,,,#修改工具|#前置,https://www.nexusmods.com/stardewvalley/mods/8626,Custom Companions,PeacefulEnd,9,https://staticdelivery.nexusmods.com/mods/1303/images/8626/8626-1619979299-1778047035.png,,5.1.0,2025-12-20,3.1M,修改工具,Framework for creating custom entities that can be spawned on maps or follow you around in Stardew Valley.
9599,Lumisteria Tilesheets - Indoor,,,#视觉效果和图形|#前置,https://www.nexusmods.com/stardewvalley/mods/9599,Lumisteria Tilesheets - Indoor,Lumisteria,25,https://staticdelivery.nexusmods.com/mods/1303/images/9599/9599-1649793216-1756365486.png,,,2024-3-22,1.2M,视觉效果和图形,This mod is a resource mod for map modder adding a new tilesheet containing various furnitures to use in their map. Pls read the instructions to know how the mod works !
10448,Lumisteria Tilesheets - Outdoor,,,#视觉效果和图形|#前置,https://www.nexusmods.com/stardewvalley/mods/10448,Lumisteria Tilesheets - Outdoor,Lumisteria,25,https://staticdelivery.nexusmods.com/mods/1303/images/10448/10448-1688069811-995469952.png,,,2024-3-21,1.0M,视觉效果和图形,This mod is a resource mod for map modder adding a new tilesheet containing various buildings to use in their map. Pls read the instructions to know how the mod works !
14493,Mapping Extensions and Extra Properties (MEEP),,,#修改工具|#前置,https://www.nexusmods.com/stardewvalley/mods/14493,Mapping Extensions and Extra Properties (MEEP),DecidedlyHuman,9,https://staticdelivery.nexusmods.com/mods/1303/images/14493/14493-1674771319-1725118752.png,,1.3.0,2025-12-7,962.2K,修改工具,"This mod does nothing on its own. Its primary purpose is to allow map authors to spice up their maps with the new custom tile properties, extra features, etc., that this mod adds."
34886,Only When It Counts - No More Wasted Stamina,,,#游戏机制|#前置,https://www.nexusmods.com/stardewvalley/mods/34886,Only When It Counts - No More Wasted Stamina,Trapyy,3,https://staticdelivery.nexusmods.com/mods/1303/images/34886/34886-1750035267-562604213.png,,1.0.6,2025-10-4,34.6K,游戏机制,Stop wasting stamina! This mod ensures stamina is only used when your tools actually work.<br />Now works in Co-op!!
5398,More Grass,,,#视觉效果和图形|#前置,https://www.nexusmods.com/stardewvalley/mods/5398,More Grass,Sonozuki,25,https://staticdelivery.nexusmods.com/mods/1303/images/5398/5398-1606347784-1953482294.png,,,2024-3-21,1.2M,视觉效果和图形,"A framework mod that lets you add custom grass sprites, locations and season dependant (including winter)"
20619,Custom Bush,,,#修改工具|#前置,https://www.nexusmods.com/stardewvalley/mods/20619,Custom Bush,LeFauxMatt,9,https://staticdelivery.nexusmods.com/mods/1303/images/20619/20619-1737617728-489319996.png,,1.5.2,2025-1-23,510.7K,修改工具,Custom Bush is a framework which allows custom bushes to be added to the game which work like the tea sapling.
20357,Item Extensions,,,#修改工具|#前置,https://www.nexusmods.com/stardewvalley/mods/20357,Item Extensions,mistyspring,9,https://staticdelivery.nexusmods.com/mods/1303/images/20357/20357-1710901164-1517036290.png,,,2025-7-5,880.0K,修改工具,"Custom resources, custom mixed seeds, eating animations, and more. 1.6 framework"
22256,Extra Machine Configs (EMC),,,#修改工具|#前置,https://www.nexusmods.com/stardewvalley/mods/22256,Extra Machine Configs (EMC),Selph aka zombifier,9,https://staticdelivery.nexusmods.com/mods/1303/images/22256/22256-1712789997-2129800860.png,,,2025-11-23,656.2K,修改工具,"Adds extra features to Content Patcher-added machine artisan recipes, such as defining extra fuels or byproducts for specific recipes."
4970,Producer Framework Mod,,,#修改工具|#前置,https://www.nexusmods.com/stardewvalley/mods/4970,Producer Framework Mod,Digus,9,https://staticdelivery.nexusmods.com/mods/1303/images/4970/4970-1577152857-2963443.png,,1.9.7,2025-4-8,1.9M,修改工具,Framework to add custom rules for producing objects. Supports code and content pack interfaces.
17265,Unlockable Bundles,,,#修改工具|#前置,https://www.nexusmods.com/stardewvalley/mods/17265,Unlockable Bundles,DeLiXx,9,https://staticdelivery.nexusmods.com/mods/1303/images/17265/17265-1688476611-180914079.png,,3.6.0,2025-11-9,811.6K,修改工具,"Unlockable Bundles enables content creators to add their own custom bundles into the game with ease.<br />Anything from a small repairable bridge to elaborate custom community centers is feasible.<br />Create farm upgrades, shortcuts, repairable structures, quest npcs or even your own ginger island expansion."
6183,Train Station,,,#游戏机制|#前置,https://www.nexusmods.com/stardewvalley/mods/6183,Train Station,Cherry,3,https://staticdelivery.nexusmods.com/mods/1303/images/6183/6183-1590624666-303429444.png,,,2025-9-8,639.5K,游戏机制,Makes the train station at the railroad functional and lets modders add more stations to create a connected travel network.
8630,Walk to the Desert Redux,,,#地图|#前置,https://www.nexusmods.com/stardewvalley/mods/8630,Walk to the Desert Redux,Taniyar and Aeywoo,21,https://staticdelivery.nexusmods.com/mods/1303/images/8630/8630-1620657498-122598044.png,,1.3.3,2024-4-19,386.5K,地图,"Walk to the Desert Redux is a new update that overwrites the old Walk to the Desert Mod. This mod connects Pelican Town to the Calico Desert! It also connects to the popular Garden Village mod, the Downtown Zuzu Mod and the Ridgeside Village mod. This mod also adds a new shop, a hidden NPC and the potential for much more to come!"
21264,BusLocations Continued,,,#游戏机制|#前置,https://www.nexusmods.com/stardewvalley/mods/21264,BusLocations Continued,ComradeSean,3,https://staticdelivery.nexusmods.com/mods/1303/images/21264/21264-1711639396-1617266291.jpeg,,,2025-12-2,200.9K,游戏机制,Replaces the vanilla bus system with a destination selector. Add new bus stops via JSON content packs—no C# required. Each destination can have custom pricing. Supports controller input and multiplayer.
6529,Expanded Preconditions Utility,,,#修改工具|#前置,https://www.nexusmods.com/stardewvalley/mods/6529,Expanded Preconditions Utility,Cherry,9,https://staticdelivery.nexusmods.com/mods/1303/images/6529/6529-1595730677-2021593035.png,,,2025-9-7,6.2M,修改工具,"Provides a conditions system mod authors can use, based on the game's event preconditions."
15792,Bush Bloom Mod,,,#游戏机制|#前置,https://www.nexusmods.com/stardewvalley/mods/15792,Bush Bloom Mod,ncarigon,3,https://staticdelivery.nexusmods.com/mods/1303/images/15792/15792-1678467151-562464229.png,,,2024-4-17,306.6K,游戏机制,"Allows creating custom bush blooming schedules to support whatever seasons, days, locations, and items you may want."
22926,Cauldron,,,#游戏机制|#前置,https://www.nexusmods.com/stardewvalley/mods/22926,Cauldron,Kedi sophiesalacia and wildflourmods,3,https://staticdelivery.nexusmods.com/mods/1303/images/22926/22926-1744039598-1113608271.png,,,2025-6-30,242.9K,游戏机制,core framework mod for Wildflour's Atelier Goods. Provides easy configuration for the user on the front end while handling game logic changes on the back end.
28261,Machine Control Panel,,,#游戏机制|#前置,https://www.nexusmods.com/stardewvalley/mods/28261,Machine Control Panel,mushymato,3,https://staticdelivery.nexusmods.com/mods/1303/images/28261/28261-1743053443-584829175.png,,1.1.1,2025-12-8,183.5K,游戏机制,"Is automate sending your items into the wrong machines? Control what items are allowed to be processed by specific machines, prevent higher quality items from being processed, and turn off machine rules you don't want.<br /><br />Press Q next to a machine to open the control panel."
28870,StardewUI,,,#用户界面|#前置,https://www.nexusmods.com/stardewvalley/mods/28870,StardewUI,focustense,10,https://staticdelivery.nexusmods.com/mods/1303/images/28870/28870-1730339066-2015866729.png,,0.6.1,2025-2-12,239.4K,用户界面,The definitive™ framework for building UI in Stardew Valley mods.
20802,不会腐坏栅栏,,,#游戏机制,https://www.nexusmods.com/stardewvalley/mods/20802,No Fence Decay Redux,EnderTedi,3,https://staticdelivery.nexusmods.com/mods/1303/images/20802/20802-1711122352-146374349.png,,1.2.0,2024-6-8,199.6K,游戏机制,"Fear no more, your fences won't decay anymore!<br /><br />Removes decay from fences, making them last forever."
16030,显示怪物血条,,,#游戏机制,https://www.nexusmods.com/stardewvalley/mods/16030,Multiplayer - Journey Of The Prairie King,Scayze,3,https://staticdelivery.nexusmods.com/mods/1303/images/16030/16030-1679930852-1425035268.png,,0.1.2,2024-4-14,12.7K,游戏机制,Adds Multiplayer to the beloved Arcade game - Journey of the Prairie King. Play with up to 4 players on your co-op worlds.
4806,跳过钓鱼,,,#钓鱼,https://www.nexusmods.com/stardewvalley/mods/4806,Eidee Easy Fishing,EideeHi,26,https://staticdelivery.nexusmods.com/mods/1303/images/4806/4806-1575626782-1480150572.png,,,2024-3-23,505.4K,钓鱼,Customizable Mod for easy fishing.
20391,跳过钓鱼,,,#钓鱼,https://www.nexusmods.com/stardewvalley/mods/20391,Yet Another Fishing Mod,NeverToxic,26,https://staticdelivery.nexusmods.com/mods/1303/images/20391/20391-1712059714-1819766098.jpeg,,1.2.0,2024-11-18,483.2K,钓鱼,Having difficulty fishing and want to skip the minigame? Want to add bait to your bamboo pole? This is yet another mod that allows you to adjust various fishing-related options.
2614,鼠标移动,,,#游戏机制,https://www.nexusmods.com/stardewvalley/mods/2614,Mouse Move Mode,ylsama,3,https://staticdelivery.nexusmods.com/mods/1303/images/2614/2614-1533410872-847797476.jpeg,,,2025-1-29,43.7K,游戏机制,- Moving by mouse via clicking or holding<br />- Enhance mouse function to let playerCtrl + wheel to zoom<br />- Alt + Enter to Fullscreen
21050,自动切换工具,,,#游戏机制,https://www.nexusmods.com/stardewvalley/mods/21050,Automate Tool Swap I Switch I Select,Trapyy,3,https://staticdelivery.nexusmods.com/mods/1303/images/21050/21050-1712512656-170541944.png,,1.5.7,2025-10-3,153.4K,游戏机制,Selects the correct tool or item for you whenever you click something that requires it<br />(Has Controller Support)
20701,稻草人不占格子,,,#游戏机制,https://www.nexusmods.com/stardewvalley/mods/20701,The Return of Immersive Scarecrows,aedenthorn,3,https://staticdelivery.nexusmods.com/mods/1303/images/20701/20701-1710967813-802246842.png,,1.0.7,2024-3-27,250.4K,游戏机制,"Originally by aedenthorn.<br />Lets you place scarecrows and rarecrows in between crops, taking up no space and more efficiently protecting your farm."
5382,分类背包（包括献祭物品包）,,,#项目,https://www.nexusmods.com/stardewvalley/mods/5382,Item Bags,SlayerDharok,15,https://staticdelivery.nexusmods.com/mods/1303/images/5382/5382-1581376500-1623731606.png,,3.0.11,2025-5-16,136.9K,项目,"Adds several new ""Bag"" items that can hold other items inside of them, while still only taking up a single inventory slot. Unlike chests, the bags will hold items while they are in your inventory, effectively increasing inventory size and organization."
5816,草原之王无敌,,,#作弊,https://www.nexusmods.com/stardewvalley/mods/5816,Easy Prairie King - Journey of the Prairie King Difficulty Changer (Fastest Fector's Challenge achievement),shanks3042,11,https://staticdelivery.nexusmods.com/mods/1303/images/5816/5816-1610573357-1568770693.jpeg,,0.6,2024-10-12,266.0K,作弊,"Adds options to change the difficulty of the minigame *Journey of the Prairie King*.<br />you can change lives, coins, movmenet speed, shooting speed,...<br />Fastest way to get the Fector's Challenge achievement. You can set the time per stage to 1 sec and start with the shotgun + more damage + fast shooting."
4734,随处自定义形象,,,#游戏机制,https://www.nexusmods.com/stardewvalley/mods/4734,Customize Anywhere,Cherry,3,https://staticdelivery.nexusmods.com/mods/1303/images/4734/4734-1575146274-1666744713.png,,,2025-9-7,676.4K,游戏机制,"Lets you customize your character and access a wardrobe with all clothing from anywhere, or via in-game items."
27005,意大利农舍,,,#建筑,https://www.nexusmods.com/stardewvalley/mods/27005,Italian Countryside Farmhouse (Seasonal),Latteholn,17,https://staticdelivery.nexusmods.com/mods/1303/images/27005/27005-1723726824-1351200256.png,,,2024-8-21,45.4K,建筑,"Replaces the Vanilla Farmhouse 1, 2, &amp; 3 with an Italian Countryside House that is Seasonal."
21413,农场建筑,,（此为1.6改版史莱姆小屋，替换本体中的即可）,#建筑,https://www.nexusmods.com/stardewvalley/mods/21413,1.6 Slime Hutch (Yellog's Wood Buildings),morphinpink,17,https://staticdelivery.nexusmods.com/mods/1303/images/21413/21413-1711842724-1955508371.png,,,2024-3-31,4.3K,建筑,1.6 Slime Hutch update for Yellog's Wood Buildings (UNOFFICIAL)
27579,意大利乡村建筑,,,#建筑,https://www.nexusmods.com/stardewvalley/mods/27579,Italian Countryside Buildings,Latteholn,17,https://staticdelivery.nexusmods.com/mods/1303/images/27579/27579-1725958343-24588184.png,,,2025-12-23,108.5K,建筑,Replaces the vanilla farm buildings with seasonal Italian-style countryside structures [CP x AT].
20044,猪牛羊,,,#牲畜和动物,https://www.nexusmods.com/stardewvalley/mods/20044,Elle's Cuter Barn Animals,Elle,7,https://staticdelivery.nexusmods.com/mods/1303/images/20044/20044-1707862646-285803872.png,,,2024-4-7,751.4K,牲畜和动物,Adds a bunch of skins for your barn animals!
20043,鸡鸭兔恐龙,,,#牲畜和动物,https://www.nexusmods.com/stardewvalley/mods/20043,Elle's Cuter Coop Animals,Elle,7,https://staticdelivery.nexusmods.com/mods/1303/images/20043/20043-1707853320-926362566.png,,,2024-4-5,732.9K,牲畜和动物,Adds a bunch of skins for your coop animals!
6776,矿洞怪物,,,#人物,https://www.nexusmods.com/stardewvalley/mods/6776,SSUL's Monster Set,SSUL,5,https://staticdelivery.nexusmods.com/mods/1303/images/6776/6776-1599212995-740920658.png,,,2020-9-4,12.9K,人物,CP version SSUL's Monster Set
26030,花草,,,#各种各样的,https://www.nexusmods.com/stardewvalley/mods/26030,(MG) DustBeauty's Wildflower Grass Field,Novaphene,2,https://staticdelivery.nexusmods.com/mods/1303/images/26030/26030-1720794403-134848890.gif,,1.0.0,2024-7-12,33.7K,各种各样的,More grass for everyone! Now compatible with SDV 1.6.
4912,农作物美化,,,#农作物,https://www.nexusmods.com/stardewvalley/mods/4912,Better Crops and Foraging,cometkins,14,https://staticdelivery.nexusmods.com/mods/1303/images/4912/4912-1576612440-759699920.png,,,2024-5-17,288.0K,农作物,Want to change up the look of the crops and forageables in the game to be more realistic? Want more toned down colors? Look no further!
