mod_id,name_cn,local_name_en,notes,tags,nexus_url,title_en,author,category,summary,thumbnail,nexus_requirements
34390,莉莉布鲁克,Lilybrook  A Stardew Valley Expansion,大型扩展mod,#大型扩展mod｜#扩展类,https://www.nexusmods.com/stardewvalley/mods/34390,Lilybrook - A Stardew Valley Expansion,8BitAlien,未知分类,"Lilybrook adds a new village accessible via the bus which adds 17 new NPCs, new fish, locations, crops, special orders and more!",https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/34390.png,
11478,福斯托里亚,,大型扩展mod,#大型扩展mod｜#扩展类,https://www.nexusmods.com/stardewvalley/mods/11478,Fostoria,Lizzie,未知分类,"Fostoria was once a bustling mining community near Pelican Town. Now largely abandoned, Fostoria is home to three new NPCs and two shops. This new location offers bountiful forage, new fishing locations, new friends, new quests, and even allows you  to walk to the desert. Fostoria also provides a walking link to my larger expansion mod, Stoffton.",https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/11478.jpeg,
18109,遥远的土地小型女巫沼泽扩展包,,大型扩展mod,#大型扩展mod｜#扩展类,https://www.nexusmods.com/stardewvalley/mods/18109,Distant Lands -  A Small Witch Swamp Expansion,Aimon111,未知分类,"A small expansion mod for Stardew Valley. This mod changes the look of vanilla Witch Swamp map, making it look more lively and realistic. Adds new endgame NPC, quests, items, fish, crops, forage and more!",https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/18109.png,
23868,天气奇观马厩,Weather Wonders  Stable,大型扩展mod,#大型扩展mod｜#扩展类,https://www.nexusmods.com/stardewvalley/mods/23868,Weather Wonders - Stable,Kanadeyoru,未知分类,"Custom weathers, lunar events and nightly events. <br />Fully configurable overhaul! Everything made to be vanilla-friendly!",https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/23868.png,
649,RTGOAT长寿税收,RTGOAT's Longevity,大型扩展mod,#大型扩展mod｜#扩展类,https://www.nexusmods.com/stardewvalley/mods/649,RTGOAT's Longevity,RTGOAT,未知分类,"Overhaul player progression with dynamic item pricing, a progressive tax system, and stamina balance!",https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/649.png,
9600,雾鸣山峰卢米斯特里亚参观瓦皮乌斯山,Lumisteria Visit Mount Vapius,大型扩展mod,#大型扩展mod｜#扩展类,https://www.nexusmods.com/stardewvalley/mods/9600,Lumisteria Visit Mount Vapius,Lumisteria,未知分类,"This mod adds a new area to visit, with everything you could expect : events, npcs, items, secrets, recipes, flowers, and more.",https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/9600.png,
34937,米林珍奇博物馆,Mirin's Museum of Curiosities,大型扩展mod,#大型扩展mod｜#扩展类,https://www.nexusmods.com/stardewvalley/mods/34937,Mirin's Museum of Curiosities,13midnight,未知分类,A small tiny expansion that adds a little corner that acts as a museum.<br />The curator is a very interesting... cat?,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/34937.png,
15261,烟花节,,大型扩展mod,#大型扩展mod｜#扩展类,https://www.nexusmods.com/stardewvalley/mods/15261,Fireworks Festival,violetlizabet,未知分类,Adds a summer fireworks festival as well as craftable fireworks.,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/15261.png,
30138,山谷中的自然（昆虫馆）,,大型扩展mod,#大型扩展mod｜#扩展类,https://www.nexusmods.com/stardewvalley/mods/30138,Nature In The Valley (Catchable Creatures),w8AwA8w,未知分类,This mod add an animal-crossing-style animal catching system with more than 80 collectable animals spawning across the valley! Includes an insectarium for you to donate all the animals you find for unique rewards and Terrariums to keep creatures as pets!. Includes a framework for other mods to make their own creatures/animals!,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/30138.png,
10612,【已不兼容】月球上的不幸遭遇,Moon Misadventures,大型扩展mod,#大型扩展mod｜#扩展类,https://www.nexusmods.com/stardewvalley/mods/10612,Moon Misadventures,spacechase0 and paradigmnomad,未知分类,Want to go to the moon? Now you can!,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/10612.png,
